language,word
english,abandon
english,acid
english,ability
english,afternoon
english,achievement
english,anniversary
english,animal
english,attend to
english,appropriate
english,approximately
english,background
english,bad-tempered
english,ball
english,band
english,battery
english,bathroom
english,battle
english,beautiful
english,beer
english,bicycle
english,calculate
english,cancer
english,captain
english,car
english,cardboard
english,catch up
english,cheat
english,check in
english,chemistry
english,chocolate
english,dad
english,dangerous
english,daughter
english,decay
english,demonstrate
english,design
english,die
english,disappointment
english,dry off
english,duty
english,easy
english,educated
english,election
english,emergency
english,emphasize
english,engineer
english,equal
english,equipment
english,error
english,extreme
english,facility
english,fail
english,famous
english,fat
english,father
english,figure out
english,finish off
english,fish
english,flight
english,football
english,gambling
english,game
english,gentleman
english,get on with
english,girlfriend
english,go
english,god
english,grandfather
english,guess
english,gun
english,habit
english,hammer
english,happiness
english,health
english,heat up
english,helpful
english,hill
english,history
english,hollow
english,homework
english,ice cream
english,identify
english,immortal
english,important
english,index
english,infected
english,informal
english,instrument
english,insult
english,item
english,jam
english,jewellery
english,joke
english,judge
english,junior
english,jump
english,juice
english,justify
english,jacket
english,jealous
norsk,bjørn
norsk,luft
norsk,havn
norsk,farvel
norsk,lærer
norsk,fjord
norsk,fisk
norsk,abonnent
norsk,fengsel
norsk,hund
